iter	Passed	Remaining
0	6	6121
1	12	6413
2	18	6162
3	23	5974
4	29	5907
5	35	5861
6	40	5784
7	46	5720
8	51	5688
9	57	5656
10	62	5629
11	68	5599
12	73	5556
13	78	5511
14	83	5475
15	88	5448
16	93	5421
17	98	5390
18	103	5361
19	108	5333
20	113	5302
21	118	5269
22	123	5238
23	128	5214
24	132	5186
25	137	5164
26	142	5131
27	147	5110
28	151	5088
29	156	5071
30	161	5055
31	166	5038
32	171	5039
33	178	5058
34	200	5528
35	212	5699
36	221	5765
37	229	5797
38	234	5771
39	239	5755
40	245	5731
41	251	5738
42	257	5721
43	262	5709
44	267	5686
45	273	5677
46	278	5655
47	283	5631
48	289	5621
49	296	5627
50	302	5627
51	308	5633
52	314	5626
53	321	5624
54	326	5611
55	331	5588
56	337	5582
57	342	5565
58	348	5554
59	353	5541
60	359	5531
61	364	5515
62	370	5503
63	375	5492
64	380	5480
65	386	5467
66	392	5467
67	398	5455
68	403	5443
69	409	5443
70	415	5433
71	420	5424
72	426	5413
73	431	5402
74	437	5397
75	443	5391
76	448	5378
77	455	5380
78	460	5372
79	466	5366
80	472	5356
81	477	5344
82	483	5337
83	488	5327
84	494	5319
85	499	5312
86	505	5306
87	512	5309
88	519	5314
89	524	5306
90	531	5309
91	537	5301
92	542	5290
93	548	5289
94	554	5283
95	560	5275
96	566	5277
97	572	5269
98	578	5263
99	584	5257
100	589	5248
101	596	5249
102	601	5242
103	607	5232
104	614	5236
105	619	5225
106	625	5216
107	631	5217
108	637	5208
109	642	5197
110	648	5190
111	652	5177
112	658	5165
113	663	5157
114	668	5144
115	673	5132
116	679	5125
117	683	5112
118	688	5099
119	694	5092
120	699	5079
121	704	5067
122	709	5060
123	714	5048
124	719	5035
125	724	5028
126	729	5015
127	734	5002
128	739	4992
129	744	4983
130	749	4973
131	754	4962
132	760	4954
133	765	4946
134	770	4938
135	776	4930
136	781	4923
137	786	4914
138	792	4908
139	797	4896
140	801	4884
141	807	4876
142	811	4865
143	816	4855
144	822	4847
145	827	4839
146	832	4830
147	837	4820
148	842	4810
149	847	4800
150	852	4794
151	857	4785
152	862	4776
153	867	4766
154	872	4757
155	877	4747
156	882	4737
157	887	4727
158	891	4717
159	896	4707
160	902	4700
161	906	4690
162	911	4679
163	916	4669
164	920	4660
165	925	4648
166	930	4639
167	935	4630
168	940	4622
169	945	4615
170	950	4607
171	955	4600
172	960	4593
173	966	4587
174	972	4582
175	977	4574
176	982	4566
177	986	4557
178	991	4548
179	996	4540
180	1001	4533
181	1007	4529
182	1012	4520
183	1017	4511
184	1022	4503
185	1027	4495
186	1032	4487
187	1037	4479
188	1041	4471
189	1047	4466
190	1052	4458
191	1058	4452
192	1063	4448
193	1069	4442
194	1074	4437
195	1080	4430
196	1084	4421
197	1090	4415
198	1095	4408
199	1099	4399
200	1104	4391
201	1110	4385
202	1114	4377
203	1119	4370
204	1124	4362
205	1130	4355
206	1134	4347
207	1140	4341
208	1145	4333
209	1150	4326
210	1155	4319
211	1160	4312
212	1165	4306
213	1170	4300
214	1175	4292
215	1180	4285
216	1185	4276
217	1190	4269
218	1194	4260
219	1199	4252
220	1204	4245
221	1209	4238
222	1214	4231
223	1219	4223
224	1224	4216
225	1229	4209
226	1233	4200
227	1256	4253
228	1262	4251
229	1271	4258
230	1277	4253
231	1282	4246
232	1287	4239
233	1292	4231
234	1297	4223
235	1302	4215
236	1307	4208
237	1311	4199
238	1316	4192
239	1321	4185
240	1327	4179
241	1331	4171
242	1337	4167
243	1342	4158
244	1347	4151
245	1352	4146
246	1357	4138
247	1362	4130
248	1369	4130
249	1374	4122
250	1379	4115
251	1384	4109
252	1389	4102
253	1393	4093
254	1399	4088
255	1404	4081
256	1409	4074
257	1414	4068
258	1419	4061
259	1424	4054
260	1429	4048
261	1434	4042
262	1439	4034
263	1445	4030
264	1450	4022
265	1455	4015
266	1459	4007
267	1465	4003
268	1470	3995
269	1475	3988
270	1481	3985
271	1486	3979
272	1491	3972
273	1497	3967
274	1502	3961
275	1507	3954
276	1512	3949
277	1517	3942
278	1522	3934
279	1529	3931
280	1534	3926
281	1539	3919
282	1545	3915
283	1550	3909
284	1555	3902
285	1560	3897
286	1565	3890
287	1570	3883
288	1576	3878
289	1581	3872
290	1586	3866
291	1592	3860
292	1597	3853
293	1601	3846
294	1606	3840
295	1611	3833
296	1617	3827
297	1622	3821
298	1626	3814
299	1631	3807
300	1636	3800
301	1642	3795
302	1646	3788
303	1651	3780
304	1657	3776
305	1661	3769
306	1666	3762
307	1671	3756
308	1676	3748
309	1681	3741
310	1685	3735
311	1690	3728
312	1695	3721
313	1700	3715
314	1706	3709
315	1710	3703
316	1715	3697
317	1721	3691
318	1726	3684
319	1730	3678
320	1735	3672
321	1741	3666
322	1746	3660
323	1751	3654
324	1756	3648
325	1761	3642
326	1766	3635
327	1772	3631
328	1777	3624
329	1782	3618
330	1788	3614
331	1793	3608
332	1798	3601
333	1804	3598
334	1809	3591
335	1814	3585
336	1820	3582
337	1826	3576
338	1831	3570
339	1836	3565
340	1841	3559
341	1846	3552
342	1852	3547
343	1857	3542
344	1863	3537
345	1872	3538
346	1878	3535
347	1885	3532
348	1890	3526
349	1895	3519
350	1900	3514
351	1905	3508
352	1910	3501
353	1916	3496
354	1920	3489
355	1925	3483
356	1930	3477
357	1935	3471
358	1940	3465
359	1945	3459
360	1951	3453
361	1956	3447
362	1960	3440
363	1966	3435
364	1970	3428
365	1975	3422
366	1981	3416
367	1986	3411
368	1990	3404
369	1996	3398
370	2001	3392
371	2006	3387
372	2012	3382
373	2017	3376
374	2022	3370
375	2027	3365
376	2032	3359
377	2037	3352
378	2042	3346
379	2047	3340
380	2052	3334
381	2058	3329
382	2063	3323
383	2068	3317
384	2073	3312
385	2078	3306
386	2083	3299
387	2088	3293
388	2093	3288
389	2099	3283
390	2103	3276
391	2108	3271
392	2114	3265
393	2119	3259
394	2124	3254
395	2129	3248
396	2134	3242
397	2139	3236
398	2144	3230
399	2149	3224
400	2154	3218
401	2160	3213
402	2165	3207
403	2170	3201
404	2175	3196
405	2180	3190
406	2185	3184
407	2191	3179
408	2196	3173
409	2200	3167
410	2206	3161
411	2211	3156
412	2216	3149
413	2222	3145
414	2227	3139
415	2232	3134
416	2238	3129
417	2243	3123
418	2247	3117
419	2253	3111
420	2259	3107
421	2264	3101
422	2269	3096
423	2274	3090
424	2279	3083
425	2284	3078
426	2291	3074
427	2295	3068
428	2300	3062
429	2306	3057
430	2311	3050
431	2315	3044
432	2321	3040
433	2326	3034
434	2331	3028
435	2337	3023
436	2342	3018
437	2347	3012
438	2353	3007
439	2358	3001
440	2362	2994
441	2368	2989
442	2372	2983
443	2377	2977
444	2382	2971
445	2387	2965
446	2391	2959
447	2396	2952
448	2400	2946
449	2405	2940
450	2410	2933
451	2414	2927
452	2420	2922
453	2424	2916
454	2429	2910
455	2434	2904
456	2439	2898
457	2445	2893
458	2450	2888
459	2455	2883
460	2461	2878
461	2467	2873
462	2473	2869
463	2480	2865
464	2485	2860
465	2491	2855
466	2497	2850
467	2502	2845
468	2508	2839
469	2513	2834
470	2518	2829
471	2524	2823
472	2530	2819
473	2535	2813
474	2540	2808
475	2546	2803
476	2551	2797
477	2556	2792
478	2562	2787
479	2567	2781
480	2572	2775
481	2577	2770
482	2582	2764
483	2587	2758
484	2592	2753
485	2597	2747
486	2602	2741
487	2607	2735
488	2612	2730
489	2617	2724
490	2622	2719
491	2628	2713
492	2633	2708
493	2638	2702
494	2643	2697
495	2648	2691
496	2653	2685
497	2658	2680
498	2663	2674
499	2668	2668
500	2673	2662
501	2679	2658
502	2689	2657
503	2701	2658
504	2711	2657
505	2720	2656
506	2728	2652
507	2734	2648
508	2740	2643
509	2745	2638
510	2751	2633
511	2757	2627
512	2763	2623
513	2768	2617
514	2774	2612
515	2779	2607
516	2784	2601
517	2790	2596
518	2795	2591
519	2801	2585
520	2806	2580
521	2811	2574
522	2816	2568
523	2821	2563
524	2826	2557
525	2832	2552
526	2837	2546
527	2843	2541
528	2848	2535
529	2853	2530
530	2858	2524
531	2864	2519
532	2869	2514
533	2875	2509
534	2881	2504
535	2887	2499
536	2893	2494
537	2900	2490
538	2906	2486
539	2913	2481
540	2920	2477
541	2927	2473
542	2937	2472
543	2943	2467
544	2950	2463
545	2956	2457
546	2961	2452
547	2968	2448
548	2974	2443
549	2979	2437
550	2985	2432
551	2990	2426
552	2995	2421
553	3001	2416
554	3007	2411
555	3013	2406
556	3019	2401
557	3024	2395
558	3030	2391
559	3036	2385
560	3043	2381
561	3050	2377
562	3056	2372
563	3064	2368
564	3069	2363
565	3076	2359
566	3084	2355
567	3090	2350
568	3097	2346
569	3103	2341
570	3110	2336
571	3116	2331
572	3123	2327
573	3130	2323
574	3135	2317
575	3140	2311
576	3146	2306
577	3151	2300
578	3156	2294
579	3161	2289
580	3166	2283
581	3171	2277
582	3177	2272
583	3181	2266
584	3187	2260
585	3192	2255
586	3197	2249
587	3202	2243
588	3208	2238
589	3213	2232
590	3218	2227
591	3223	2221
592	3228	2216
593	3233	2210
594	3239	2204
595	3244	2199
596	3249	2193
597	3254	2187
598	3259	2182
599	3264	2176
600	3269	2170
601	3274	2164
602	3279	2159
603	3283	2153
604	3288	2147
605	3293	2141
606	3297	2135
607	3302	2129
608	3306	2123
609	3311	2117
610	3316	2111
611	3321	2105
612	3326	2099
613	3331	2094
614	3336	2088
615	3340	2082
616	3345	2076
617	3350	2070
618	3354	2064
619	3359	2059
620	3364	2053
621	3368	2047
622	3373	2041
623	3378	2035
624	3384	2030
625	3388	2024
626	3393	2018
627	3398	2013
628	3403	2007
629	3408	2001
630	3413	1996
631	3418	1990
632	3423	1984
633	3428	1978
634	3433	1973
635	3437	1967
636	3442	1961
637	3447	1955
638	3452	1950
639	3457	1944
640	3462	1938
641	3466	1933
642	3472	1927
643	3477	1922
644	3482	1916
645	3487	1911
646	3492	1905
647	3497	1900
648	3502	1894
649	3507	1888
650	3512	1883
651	3517	1877
652	3523	1872
653	3527	1866
654	3533	1860
655	3537	1855
656	3542	1849
657	3547	1843
658	3552	1838
659	3556	1832
660	3561	1826
661	3566	1820
662	3571	1815
663	3575	1809
664	3580	1803
665	3585	1798
666	3604	1799
667	3609	1793
668	3614	1788
669	3618	1782
670	3623	1776
671	3628	1771
672	3633	1765
673	3638	1759
674	3643	1754
675	3648	1748
676	3653	1742
677	3657	1737
678	3662	1731
679	3667	1725
680	3672	1720
681	3677	1714
682	3682	1709
683	3687	1703
684	3692	1698
685	3697	1692
686	3701	1686
687	3706	1680
688	3711	1675
689	3716	1669
690	3721	1663
691	3726	1658
692	3730	1652
693	3735	1647
694	3740	1641
695	3745	1635
696	3750	1630
697	3755	1624
698	3759	1619
699	3764	1613
700	3769	1607
701	3775	1602
702	3780	1597
703	3784	1591
704	3789	1585
705	3794	1580
706	3799	1574
707	3803	1568
708	3808	1563
709	3813	1557
710	3818	1551
711	3822	1546
712	3827	1540
713	3832	1535
714	3837	1529
715	3842	1524
716	3847	1518
717	3852	1513
718	3857	1507
719	3862	1501
720	3866	1496
721	3872	1491
722	3877	1485
723	3882	1479
724	3887	1474
725	3891	1468
726	3896	1463
727	3901	1457
728	3906	1452
729	3911	1446
730	3916	1441
731	3921	1435
732	3926	1430
733	3931	1424
734	3936	1419
735	3941	1413
736	3946	1408
737	3950	1402
738	3955	1397
739	3960	1391
740	3965	1385
741	3970	1380
742	3974	1374
743	3979	1369
744	3984	1363
745	3989	1358
746	3993	1352
747	3998	1347
748	4003	1341
749	4008	1336
750	4012	1330
751	4017	1324
752	4022	1319
753	4026	1313
754	4032	1308
755	4037	1302
756	4041	1297
757	4046	1291
758	4051	1286
759	4056	1280
760	4060	1275
761	4065	1269
762	4070	1264
763	4075	1258
764	4080	1253
765	4085	1247
766	4090	1242
767	4094	1236
768	4099	1231
769	4104	1225
770	4109	1220
771	4113	1215
772	4119	1209
773	4123	1204
774	4129	1198
775	4134	1193
776	4139	1187
777	4144	1182
778	4149	1177
779	4153	1171
780	4158	1166
781	4163	1160
782	4167	1154
783	4172	1149
784	4177	1144
785	4182	1138
786	4186	1133
787	4192	1127
788	4197	1122
789	4201	1116
790	4206	1111
791	4211	1106
792	4216	1100
793	4220	1095
794	4225	1089
795	4231	1084
796	4236	1078
797	4240	1073
798	4245	1068
799	4250	1062
800	4255	1057
801	4259	1051
802	4264	1046
803	4268	1040
804	4273	1035
805	4278	1029
806	4283	1024
807	4287	1018
808	4292	1013
809	4297	1008
810	4302	1002
811	4307	997
812	4312	991
813	4316	986
814	4321	980
815	4326	975
816	4331	970
817	4336	964
818	4341	959
819	4345	953
820	4350	948
821	4355	943
822	4359	937
823	4364	932
824	4369	926
825	4373	921
826	4378	915
827	4382	910
828	4387	905
829	4392	899
830	4396	894
831	4401	888
832	4406	883
833	4410	877
834	4416	872
835	4420	867
836	4425	861
837	4430	856
838	4435	851
839	4441	845
840	4445	840
841	4450	835
842	4455	829
843	4460	824
844	4465	819
845	4471	813
846	4476	808
847	4480	803
848	4485	797
849	4491	792
850	4495	787
851	4500	781
852	4505	776
853	4510	771
854	4515	765
855	4520	760
856	4525	755
857	4530	749
858	4535	744
859	4540	739
860	4545	733
861	4550	728
862	4555	723
863	4560	717
864	4565	712
865	4569	707
866	4574	701
867	4579	696
868	4584	691
869	4589	685
870	4594	680
871	4599	675
872	4604	669
873	4609	664
874	4614	659
875	4619	653
876	4624	648
877	4629	643
878	4634	637
879	4639	632
880	4644	627
881	4649	622
882	4654	616
883	4659	611
884	4664	606
885	4669	600
886	4674	595
887	4678	590
888	4683	584
889	4688	579
890	4693	574
891	4697	568
892	4702	563
893	4706	558
894	4711	552
895	4716	547
896	4720	542
897	4725	536
898	4730	531
899	4735	526
900	4741	520
901	4746	515
902	4751	510
903	4756	505
904	4761	499
905	4766	494
906	4771	489
907	4776	483
908	4781	478
909	4786	473
910	4791	468
911	4796	462
912	4801	457
913	4806	452
914	4811	446
915	4817	441
916	4822	436
917	4827	431
918	4832	425
919	4838	420
920	4844	415
921	4850	410
922	4856	405
923	4861	399
924	4866	394
925	4871	389
926	4877	384
927	4882	378
928	4887	373
929	4892	368
930	4897	362
931	4902	357
932	4908	352
933	4913	347
934	4918	341
935	4923	336
936	4929	331
937	4934	326
938	4939	320
939	4944	315
940	4949	310
941	4953	305
942	4958	299
943	4963	294
944	4968	289
945	4973	283
946	4978	278
947	4982	273
948	4987	268
949	4992	262
950	4997	257
951	5002	252
952	5007	246
953	5012	241
954	5017	236
955	5023	231
956	5028	225
957	5033	220
958	5038	215
959	5042	210
960	5048	204
961	5053	199
962	5058	194
963	5063	189
964	5068	183
965	5072	178
966	5078	173
967	5082	168
968	5087	162
969	5092	157
970	5096	152
971	5101	146
972	5106	141
973	5111	136
974	5115	131
975	5120	125
976	5125	120
977	5130	115
978	5134	110
979	5140	104
980	5145	99
981	5150	94
982	5154	89
983	5159	83
984	5164	78
985	5169	73
986	5173	68
987	5178	62
988	5182	57
989	5187	52
990	5192	47
991	5197	41
992	5202	36
993	5207	31
994	5212	26
995	5217	20
996	5222	15
997	5227	10
998	5231	5
999	5235	0
